id_case,id_progen_tree,id_progen_tracing,membership,utm_easting,utm_northing,species,date_symptoms
159,157,157,3,582537.0858817778,9417013.721826453,Livestock: Goat,2011-05-15
160,141,141,6,595178.4568007762,9448379.172693659,Domestic dog,2012-07-07
161,141,141,6,593421.3504833361,9448729.511461522,Domestic dog,2012-07-13
162,370,0,7,582229.7054252854,9440456.38029927,Domestic dog,2012-06-01
165,162,0,7,582370.54698511,9441814.37269017,Domestic dog,2012-06-30
166,369,0,7,581473.5905744428,9440036.919466048,Domestic dog,2013-09-01
167,369,0,7,580890.6718461998,9441011.963067655,Domestic dog,2013-09-01
168,167,0,7,581542.1638297942,9439849.705317881,Domestic dog,2013-10-01
170,172,0,8,576238.0257826761,9405784.605149034,Domestic dog,2012-10-01
172,NA,0,8,578560.5523919554,9411285.086081505,Domestic dog,2012-07-11
173,NA,0,2,582815.2916770463,9440590.90986761,Domestic dog,2010-06-01
174,168,0,7,581717.1948208612,9442027.911517933,Domestic dog,2013-12-21
176,174,0,7,582821.4476112644,9439295.58427285,Domestic dog,2014-01-01
178,NA,0,9,582134.8650123432,9409639.020540468,Domestic dog,2013-11-20
181,NA,0,10,584216.0394212774,9420668.302577807,Domestic dog,2014-05-20
185,8,0,2,582415.8343910384,9443774.33999528,Domestic dog,2010-11-23
190,NA,0,1,583838.0582908196,9421930.179354286,Domestic dog,2010-10-19
191,154,0,3,584047.7020544261,9420398.031925334,Domestic dog,2011-10-20
343,350,0,11,588778.4037169163,9429817.768513527,Domestic dog,2016-09-21
342,348,0,12,581333.1763521641,9438515.893495064,Domestic dog,2016-09-30
347,343,0,11,585877.801471032,9432820.924848732,Domestic dog,2016-11-15
348,362,0,12,579051.9624334435,9438203.33328629,Domestic dog,2016-08-30
355,350,0,11,587648.1539551773,9417060.496541705,Domestic dog,2016-10-04
354,355,0,11,586732.7666340889,9420196.926861148,Domestic dog,2016-10-30
350,NA,0,11,591924.6612392737,9422252.163703375,Domestic dog,2016-09-15
358,357,357,13,580266.521646708,9399556.263497584,Livestock: Cow,2016-10-27
357,NA,0,13,581165.4091842762,9400303.892285965,Domestic dog,2016-10-05
356,355,0,11,588083.5481718977,9413596.938626489,Domestic dog,2016-10-19
361,354,0,11,588254.9884740653,9421251.892718438,Domestic dog,2016-11-29
360,355,0,11,582946.9087306842,9420899.943367189,Domestic dog,2016-10-07
366,168,0,7,579192.6862238336,9441302.09177684,Domestic dog,2013-12-23
363,362,362,12,579259.5685115043,9441522.773076616,Domestic dog,2016-10-25
364,362,362,12,580784.8969860893,9441826.45193599,Domestic dog,2016-10-17
365,364,364,12,580592.7054425661,9441756.299851064,Domestic dog,2016-12-01
370,NA,0,7,580915.6569155623,9441958.530076738,Domestic dog,2012-05-18
367,372,0,7,579409.7484929772,9441517.346146706,Domestic dog,2013-03-16
372,368,0,7,581054.3747049343,9440029.563728213,Domestic dog,2013-02-11
371,362,0,12,581088.1356114709,9441104.793839492,Domestic dog,2016-09-16
369,367,0,7,581396.2880092245,9441378.60495789,Domestic dog,2013-07-15
373,362,0,12,581237.6160876098,9442285.59643092,Domestic dog,2016-09-21
375,362,0,12,582660.0419088776,9444241.070423387,Domestic dog,2016-10-04
349,348,0,12,578829.6271659395,9437766.846684694,Domestic dog,2016-11-02
376,34,0,2,579600.8933353208,9442493.749540456,Livestock: Cow,2011-08-24
377,370,0,7,579036.9843863457,9447385.09806687,Domestic dog,2012-06-15
378,377,0,7,577719.8700626078,9447570.520570412,Domestic dog,2012-08-25
379,369,0,7,582658.9407426286,9441070.884700958,Domestic dog,2013-07-15
381,367,0,7,589374.4760229542,9440500.92829966,Domestic dog,2013-06-15
383,NA,0,14,585789.180338228,9427187.111295316,Domestic dog,2013-06-15
382,383,0,14,585870.6534943762,9430949.00252631,Domestic dog,2013-07-15
380,372,0,7,581668.4464424127,9439030.49141012,Domestic dog,2013-02-13
368,378,0,7,579361.550723887,9441741.789013758,Domestic dog,2013-02-11
499,375,0,12,579932.0251964448,9453548.436414354,Domestic dog,2016-12-05
498,499,499,12,580371.4931330608,9453269.447388515,Domestic dog,2017-01-05
495,498,0,12,579970.0512205099,9455414.50279285,Domestic dog,2017-03-09
496,494,0,12,582054.3950094618,9447544.85499859,Domestic dog,2017-03-08
494,498,0,12,580704.3633376346,9450431.630279355,Domestic dog,2017-02-17
503,510,0,12,589635.7213324214,9445259.57696392,Domestic dog,2017-05-16
504,528,0,12,595122.2842541498,9448707.546332372,Domestic dog,2017-01-18
508,504,0,12,594305.9760494393,9448566.974233013,Domestic dog,2017-04-15
501,502,0,12,586678.1212969361,9452765.523140568,Domestic dog,2017-03-31
500,514,0,12,585581.9067688114,9441390.251440428,Domestic dog,2016-12-26
497,494,0,12,582573.676386017,9453403.506790064,Domestic dog,2017-03-12
510,512,0,12,590675.2172444228,9451340.234372005,Domestic dog,2017-04-16
570,511,0,12,591781.2303344057,9443344.589885019,Domestic dog,2017-02-24
505,511,0,12,590477.639212324,9443244.19430669,Domestic dog,2017-02-23
506,500,0,12,585773.5818595346,9439540.444266949,Domestic dog,2017-02-24
493,500,0,12,584416.8603958392,9445958.463461688,Domestic dog,2017-01-30
519,517,0,11,583813.9926087043,9436217.650834333,Domestic dog,2017-05-10
511,509,509,12,590565.1483212158,9438948.30982497,Livestock: Cow,2017-02-05
513,509,509,12,590600.343296712,9438919.110148665,Livestock: Cow,2017-02-12
516,517,0,11,584528.5835868728,9435929.6002954,Domestic dog,2017-05-14
518,517,0,11,583462.5423369332,9435611.652658038,Domestic dog,2017-05-12
509,514,0,12,588112.0516218867,9439406.631061869,Domestic dog,2016-12-15
520,526,0,11,580574.453422522,9431372.132122947,Domestic dog,2017-05-11
515,506,0,12,586125.5793902677,9441877.650233611,Domestic dog,2017-05-14
514,342,0,12,588166.9513221568,9439416.02191776,Domestic dog,2016-11-09
521,526,0,11,579872.5441019993,9433118.00913189,Domestic dog,2017-05-16
517,347,0,11,585678.852237638,9434459.477211671,Livestock: Goat,2017-02-05
525,506,0,12,580346.3891609233,9438234.283636753,Domestic dog,2017-05-11
529,347,0,11,590711.1966408914,9432316.437355217,Domestic dog,2016-12-25
528,342,0,12,590763.7405773476,9442149.089131147,Domestic dog,2016-11-09
527,354,0,11,587636.0684931546,9420682.498846382,Domestic dog,2016-11-29
526,517,0,11,588799.4350170399,9426957.728097335,Domestic dog,2017-04-13
571,355,0,11,582486.0934085515,9422156.389705196,Domestic dog,2016-10-07
550,551,0,12,579605.9123932814,9441943.845089935,Domestic dog,2017-11-22
552,525,0,12,578177.0677282267,9437294.524541724,Domestic dog,2017-05-18
551,552,0,12,580875.9934601042,9441278.452699158,Domestic dog,2017-10-20
554,516,0,11,585628.9388332419,9436042.722260434,Domestic dog,2017-07-11
555,517,0,11,584348.8421947673,9432567.270496989,Domestic dog,2017-05-18
553,NA,0,15,579025.4785245445,9434034.643721383,Domestic dog,2018-06-10
602,526,0,11,589175.5120803292,9427169.145830806,Domestic dog,2017-06-21
603,604,0,11,587333.4169531104,9440693.082285823,Domestic dog,2017-10-28
556,602,0,11,590674.4458089629,9431188.529937996,Domestic dog,2017-08-23
604,554,0,11,587511.9811791659,9438829.29606403,Domestic dog,2017-10-27
605,573,0,12,584565.8118636832,9444690.866002271,Domestic dog,2018-10-27
606,NA,0,16,575385.0438289224,9454039.231408605,Domestic dog,2018-06-13
562,563,0,12,588125.0342560462,9452523.330638025,Domestic dog,2017-10-17
563,568,0,12,592505.5847447824,9450241.783678476,Domestic dog,2017-10-05
565,563,0,12,592473.7938857544,9450206.556370307,Domestic dog,2017-12-03
567,507,0,12,594974.6273274603,9453688.154321853,Domestic dog,2017-06-28
